DBID	locus	strain	gene_name	gene_name2	proteins_molecular_weight	protein_length
S000000052	YAL056W	S. cerevisiae	GPB2		98653.9	880
S000000054	YAL058W	S. cerevisiae	CNE1	CalNExin and calreticulin homolog	56948.3	502
S000000055	YAL059W	S. cerevisiae	ECM1	ExtraCellular Mutant	23902.6	212
S000000056	YAL060W	S. cerevisiae	BDH1	Butanediol DeHydrogenase	41574.4	382
S000000057	YAL061W	S. cerevisiae	BDH2		46085.1	417
S000000058	YAL062W	S. cerevisiae	GDH3	Glutamate DeHydrogenase	49619.6	457
S000000059	YAL063C	S. cerevisiae	FLO9	FLOcculation	138012.6	1322
S000000060	YAL064W	S. cerevisiae			11010	94
S000000061	YAL066W	S. cerevisiae			12123.1	102
S000000062	YAL067C	S. cerevisiae	SEO1	Suppressor of sulfoxyde EthiOnine resistance	68845.6	593
S000000063	YAR002W	S. cerevisiae	NUP60	NUclear Pore	59053.1	539
S000000064	YAR003W	S. cerevisiae	SWD1	"Set1c, WD40 repeat protein"	48624	426
S000000065	YAR007C	S. cerevisiae	RFA1	Replication Factor A	70341.5	621
S000000066	YAR008W	S. cerevisiae	SEN34	Splicing ENdonuclease	31313.3	275
S000000069	YAR014C	S. cerevisiae	BUD14	BUD site selection	78899.8	709
S000000070	YAR015W	S. cerevisiae	ADE1	ADEnine requiring	34597.6	306
S000000071	YAR018C	S. cerevisiae	KIN3	protein KINase	51209	435
S000000072	YAR019C	S. cerevisiae	CDC15	Cell Division Cycle	110245.7	974
S000000073	YAR020C	S. cerevisiae	PAU7	seriPAUperin family	5672.5	55
S000000074	YAR023C	S. cerevisiae			20704.2	179
S000000075	YAR027W	S. cerevisiae	UIP3	Ulp1 Interacting Protein	27110.7	235
S000000076	YAR028W	S. cerevisiae			26449.6	234
S000000077	YAR029W	S. cerevisiae			8903.9	74
S000000078	YAR031W	S. cerevisiae	PRM9	Pheromone-Regulated Membrane protein	35075.4	298
S000000079	YAR033W	S. cerevisiae	MST28	Multicopy suppressor of Sec Twenty one	27091.3	234
S000000080	YAR035W	S. cerevisiae	YAT1		77761.4	687
S000000081	YAR042W	S. cerevisiae	SWH1		135055.8	1188
S000000083	YAR047C	S. cerevisiae			12904.7	106
S000000084	YAR050W	S. cerevisiae	FLO1	FLOcculation	160585.1	1537
S000000085	YAR053W	S. cerevisiae			11146.4	98
S000000086	YAR060C	S. cerevisiae			12879.4	111
S000000089	YAR064W	S. cerevisiae			11142	99
S000000091	YAR068W	S. cerevisiae			18018.8	161
S000000092	YAR069C	S. cerevisiae			10913	97
S000000093	YAR070C	S. cerevisiae			11611	99
S000000094	YAR071W	S. cerevisiae	PHO11	PHOsphate metabolism	52741.1	467
S000000095	YAR073W	S. cerevisiae	IMD1	IMP Dehydrogenase	44389.7	403
S000000097	YBL001C	S. cerevisiae	ECM15	ExtraCellular Mutant	11516.4	104
S000000098	YBL002W	S. cerevisiae	HTB2	Histone h Two B	14251.6	131
S000000099	YBL003C	S. cerevisiae	HTA2	Histone h Two A	14002.5	132
S000000100	YBL004W	S. cerevisiae	UTP20	U Three Protein	287550.5	2493
S000000101	YBL005W	S. cerevisiae	PDR3	Pleiotropic Drug Resistance	112562.2	976
S000000102	YBL006C	S. cerevisiae	LDB7	Low Dye Binding	19797.7	180
S000000103	YBL007C	S. cerevisiae	SLA1	Synthetic Lethal with ABP1	135835.7	1244
S000000104	YBL008W	S. cerevisiae	HIR1	HIstone Regulation	93855.8	840
S000000105	YBL009W	S. cerevisiae	ALK2		76397.6	676
S000000106	YBL010C	S. cerevisiae	LAA2	Large Adaptin Accessory	32625.7	280
S000000107	YBL011W	S. cerevisiae	SCT1	Suppressor of Choline-Transport mutants	85693.2	759
S000000108	YBL012C	S. cerevisiae			15310.3	133
S000000109	YBL013W	S. cerevisiae	FMT1	Formyl-Methionyl-tRNA Transformylase	44635.5	401
S000000110	YBL014C	S. cerevisiae	RRN6	Regulation of RNA polymerase I	102012.2	894
S000000111	YBL015W	S. cerevisiae	ACH1	Acetyl CoA Hydrolase	58705.5	526
S000000112	YBL016W	S. cerevisiae	FUS3	cell FUSion	40770.5	353
S000000113	YBL017C	S. cerevisiae	PEP1	carboxyPEPtidase Y-deficient	177695.5	1579
S000000114	YBL018C	S. cerevisiae	POP8	Processing Of Precursor RNAs	15503.5	133
S000000115	YBL019W	S. cerevisiae	APN2	APurinic/apyrimidinic eNdonuclease	59463	520
S000000116	YBL020W	S. cerevisiae	RFT1	Requiring Fifty-Three	66225.3	574
S000000117	YBL021C	S. cerevisiae	HAP3	Heme Activator Protein	16146.1	144
S000000118	YBL022C	S. cerevisiae	PIM1	Proteolysis In Mitochondria	127085	1133
S000000119	YBL023C	S. cerevisiae	MCM2	MiniChromosome Maintenance	98740.6	868
S000000120	YBL024W	S. cerevisiae	NCL1	NuCLear protein	77878.6	684
S000000121	YBL025W	S. cerevisiae	RRN10	Regulation of RNA polymerase I	16496.8	145
S000000122	YBL026W	S. cerevisiae	LSM2	Like SM	11164	95
S000000123	YBL027W	S. cerevisiae	RPL19B	Ribosomal Protein of the Large subunit	21736.8	189
S000000124	YBL028C	S. cerevisiae			12416.6	106
S000000125	YBL029W	S. cerevisiae			42601.5	376
S000000126	YBL030C	S. cerevisiae	PET9	PETite	34446.7	318
S000000127	YBL031W	S. cerevisiae	SHE1	Sensitivity to High Expression	38042.3	338
S000000128	YBL032W	S. cerevisiae	HEK2	HEterogeneous nuclear rnp K-like gene	41676.4	381
S000000129	YBL033C	S. cerevisiae	RIB1	RIBoflavin biosynthesis	38325.5	345
S000000130	YBL034C	S. cerevisiae	STU1	Suppressor of TUbulin	174160.9	1513
S000000131	YBL035C	S. cerevisiae	POL12	POLymerase	78771.9	705
S000000132	YBL036C	S. cerevisiae			29120.5	257
S000000133	YBL037W	S. cerevisiae	APL3	clathrin Adaptor Protein complex Large chain	115024.8	1025
S000000134	YBL038W	S. cerevisiae	MRPL16	"Mitochondrial Ribosomal Protein, Large subunit"	26545.5	232
S000000135	YBL039C	S. cerevisiae	URA7	URAcil requiring	64693.8	579
S000000136	YBL040C	S. cerevisiae	ERD2	Endoplasmic reticulum Retention Defective	25774.8	219
S000000137	YBL041W	S. cerevisiae	PRE7	PRoteinase yscE	26866.3	241
S000000138	YBL042C	S. cerevisiae	FUI1	5-FlUorourIdine resistance	72166.6	639
S000000139	YBL043W	S. cerevisiae	ECM13	ExtraCellular Mutant	28528.4	257
S000000140	YBL044W	S. cerevisiae			13863.3	122
S000000141	YBL045C	S. cerevisiae	COR1	CORe protein of QH2 cytochrome c reductase	50227.3	457
S000000142	YBL046W	S. cerevisiae	PSY4	Platinum SensitivitY	50596.3	441
S000000143	YBL047C	S. cerevisiae	EDE1	EH Domains and Endocytosis	150701.5	1381
S000000144	YBL048W	S. cerevisiae	RRT1	Regulator of rDNA Transcription	12451.1	103
S000000145	YBL049W	S. cerevisiae	MOH1		16094.7	138
S000000146	YBL050W	S. cerevisiae	SEC17	SECretory	32792.1	292
S000000147	YBL051C	S. cerevisiae	PIN4	Psi+ INducibility	73765.8	668
S000000148	YBL052C	S. cerevisiae	SAS3	Something About Silencing	97573.4	831
S000000149	YBL053W	S. cerevisiae			13196	124
S000000150	YBL054W	S. cerevisiae	TOD6	Twin Of Dot6p	59239.9	525
S000000151	YBL055C	S. cerevisiae			47386.4	418
S000000152	YBL056W	S. cerevisiae	PTC3	Phosphatase Two C	51289.4	468
S000000153	YBL057C	S. cerevisiae	PTH2	Peptidyl-Trna Hydrolase	22429.6	208
S000000154	YBL058W	S. cerevisiae	SHP1	Suppressor of High-copy PP1	46968.7	423
S000000155	YBL059W	S. cerevisiae	IAI11	Interactor of AIm11	22293.4	193
S000000156	YBL060W	S. cerevisiae	YEL1	Yeast EFA6-Like	78759.8	687
S000000157	YBL061C	S. cerevisiae	SKT5		77085.6	696
S000000158	YBL062W	S. cerevisiae			14408.1	126
S000000159	YBL063W	S. cerevisiae	KIP1	KInesin related Protein	125788.1	1111
S000000160	YBL064C	S. cerevisiae	PRX1	PeroxiRedoXin	29501.1	261
S000000161	YBL065W	S. cerevisiae			13836.6	114
S000000162	YBL066C	S. cerevisiae	SEF1	Suppressor of Essential Function	127993.3	1148
S000000163	YBL067C	S. cerevisiae	UBP13	UBiquitin-specific Protease	83845.7	747
S000000164	YBL068W	S. cerevisiae	PRS4	PhosphoRibosylpyrophosphate Synthetase	35714.4	326
S000000165	YBL069W	S. cerevisiae	AST1	ATPase STabilizing	48353	429
S000000166	YBL070C	S. cerevisiae			11551	106
S000000167	YBL071C	S. cerevisiae			11546.7	102
S000000168	YBL072C	S. cerevisiae	RPS8A	Ribosomal Protein of the Small subunit	22517.2	200
S000000169	YBL073W	S. cerevisiae			12090.6	103
S000000170	YBL074C	S. cerevisiae	AAR2	A1-Alpha2 Repression	41666	355
S000000171	YBL075C	S. cerevisiae	SSA3	Stress-Seventy subfamily A	70527.4	649
S000000172	YBL076C	S. cerevisiae	ILS1	IsoLeucine-tRNA Synthetase	122966.3	1072
S000000173	YBL077W	S. cerevisiae			16331.1	143
S000000174	YBL078C	S. cerevisiae	ATG8	AuTophaGy related	13630.9	117
S000000175	YBL079W	S. cerevisiae	NUP170	NUclear Pore	169454.3	1502
S000000176	YBL080C	S. cerevisiae	PET112	PETite colonies	61869.4	541
S000000177	YBL081W	S. cerevisiae			40769.4	368
S000000178	YBL082C	S. cerevisiae	ALG3	Asparagine Linked Glycosylation	52872.5	458
S000000179	YBL083C	S. cerevisiae			16170.3	141
S000000180	YBL084C	S. cerevisiae	CDC27	Cell Division Cycle	85410.8	758
S000000181	YBL085W	S. cerevisiae	BOI1	Bem1 (One) Interacting protein	109313.7	980
S000000182	YBL086C	S. cerevisiae			52005.5	466
S000000183	YBL087C	S. cerevisiae	RPL23A	Ribosomal Protein of the Large subunit	14485.3	137
S000000184	YBL088C	S. cerevisiae	TEL1	TELomere maintenance	321515.1	2787
S000000185	YBL089W	S. cerevisiae	AVT5	Amino acid Vacuolar Transport	50902.5	459
S000000186	YBL090W	S. cerevisiae	MRP21	Mitochondrial Ribosomal Protein	20413.2	177
S000000187	YBL091C	S. cerevisiae	MAP2	Methionine AminoPeptidase	47508.9	421
S000000188	YBL092W	S. cerevisiae	RPL32	Ribosomal Protein of the Large subunit	14794.7	130
S000000189	YBL093C	S. cerevisiae	ROX3	Regulation by OXygen	24855.7	220
S000000190	YBL094C	S. cerevisiae			12085.4	110
S000000191	YBL095W	S. cerevisiae	MRX3	Mitochondrial oRganization of gene eXpression (MIOREX)	30546.8	270
S000000192	YBL096C	S. cerevisiae			11091.2	102
S000000193	YBL097W	S. cerevisiae	BRN1	homolog of BaRreN	86152	754
S000000194	YBL098W	S. cerevisiae	BNA4	Biosynthesis of Nicotinic Acid	52435.1	460
S000000195	YBL099W	S. cerevisiae	ATP1	ATP synthase	58614.7	545
S000000196	YBL100C	S. cerevisiae			11251.4	104
S000000197	YBL101C	S. cerevisiae	ECM21	ExtraCellular Mutant	123604	1117
S000000198	YBL102W	S. cerevisiae	SFT2	Suppressor of sed Five Ts	24279.5	215
S000000199	YBL103C	S. cerevisiae	RTG3	ReTroGrade regulation	54123.2	486
S000000200	YBL104C	S. cerevisiae	SEA4	SEh1-Associated	117621.4	1038
S000000201	YBL105C	S. cerevisiae	PKC1	Protein Kinase C	131473.5	1151
S000000202	YBL106C	S. cerevisiae	SRO77	Suppressor of rho3	111637.5	1010
S000000203	YBL107C	S. cerevisiae	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein	22966.1	196
S000000204	YBL108W	S. cerevisiae			11666.1	101
S000000205	YBR001C	S. cerevisiae	NTH2	Neutral TreHalase	89670.1	780
S000000206	YBR002C	S. cerevisiae	RER2	Retention in the Endoplasmic Reticulum	32695	286
S000000207	YBR003W	S. cerevisiae	COQ1	COenzyme Q	52567.2	473
S000000208	YBR004C	S. cerevisiae	GPI18	GlycosylPhosphatidylInositol	50779	433
S000000209	YBR005W	S. cerevisiae	RCR1	Resistance to Congo Red	23884.8	213
S000000210	YBR006W	S. cerevisiae	UGA2	Utilization of GAba	54186.7	497
S000000211	YBR007C	S. cerevisiae	DSF2	Deletion Suppressor of mptFive/pufFive mutation	82359.3	736
S000000212	YBR008C	S. cerevisiae	FLR1	FLuconazole Resistance	61624.3	548
S000000213	YBR009C	S. cerevisiae	HHF1	Histone H Four	11386.6	103
S000000214	YBR010W	S. cerevisiae	HHT1	Histone H Three	15378.3	136
S000000215	YBR011C	S. cerevisiae	IPP1	Inorganic PyroPhosphatase	32291.7	287
S000000216	YBR012C	S. cerevisiae			16066.1	139
S000000217	YBR013C	S. cerevisiae			14481.7	129
S000000218	YBR014C	S. cerevisiae	GRX7	GlutaRedoXin	22559.4	203
S000000219	YBR015C	S. cerevisiae	MNN2	MaNNosyltransferase	67766.3	597
S000000220	YBR016W	S. cerevisiae			14617	128
S000000221	YBR017C	S. cerevisiae	KAP104	KAryoPherin	103614.9	918
S000000222	YBR018C	S. cerevisiae	GAL7	GALactose metabolism	42385.5	366
S000000223	YBR019C	S. cerevisiae	GAL10	GALactose metabolism	78182.9	699
S000000224	YBR020W	S. cerevisiae	GAL1	GALactose metabolism	57940.9	528
S000000225	YBR021W	S. cerevisiae	FUR4	5-FlUoRouridine sensitivity	71740.4	633
S000000226	YBR022W	S. cerevisiae	POA1	"Phosphatase Of ADP-ribose 1""-phosphate"	19939	177
S000000227	YBR023C	S. cerevisiae	CHS3	CHitin Synthase-related	131593.5	1165
S000000228	YBR024W	S. cerevisiae	SCO2	Suppressor of Cytochrome Oxidase deficiency	34891.9	301
S000000229	YBR025C	S. cerevisiae	OLA1	Obg-Like ATPase	44174.5	394
S000000230	YBR026C	S. cerevisiae	ETR1	2-Enoyl Thioester Reductase	42074.3	380
S000000231	YBR027C	S. cerevisiae			12848.6	110
S000000232	YBR028C	S. cerevisiae	YPK3		59593	525
S000000233	YBR029C	S. cerevisiae	CDS1	CDP-Diacylglycerol Synthase	51832.3	457
S000000234	YBR030W	S. cerevisiae	RKM3	Ribosomal lysine (K) Methyltransferase	62541	552
S000000235	YBR031W	S. cerevisiae	RPL4A	Ribosomal Protein of the Large subunit	39126.9	362
S000000236	YBR032W	S. cerevisiae			11483.3	100
S000000237	YBR033W	S. cerevisiae	EDS1	Expression Dependent on Slt2	103416.6	919
S000000238	YBR034C	S. cerevisiae	HMT1	HnRNP MethylTransferase	39771.3	348
S000000239	YBR035C	S. cerevisiae	PDX3	PyriDoXine auxotrophy	26908.5	228
S000000240	YBR036C	S. cerevisiae	CSG2	Calcium Sensitive Growth	45442.5	410
S000000241	YBR037C	S. cerevisiae	SCO1	Suppressor of Cytochrome Oxidase deficiency	33174.3	295
S000000242	YBR038W	S. cerevisiae	CHS2	CHitin Synthase	109894.8	963
S000000243	YBR039W	S. cerevisiae	ATP3	ATP synthase	34360	311
S000000244	YBR040W	S. cerevisiae	FIG1	Factor-Induced Gene	33788.1	298
S000000245	YBR041W	S. cerevisiae	FAT1	FATty acid transporter	77147.6	669
S000000246	YBR042C	S. cerevisiae	CST26	Chromosome STability	45529.6	397
S000000247	YBR043C	S. cerevisiae	QDR3	QuiniDine Resistance	77288.4	689
S000000248	YBR044C	S. cerevisiae	TCM62	TriCarboxylic acid cycle Mutant	64267.8	572
S000000249	YBR045C	S. cerevisiae	GIP1	Glc7-Interacting Protein	73327.2	639
S000000250	YBR046C	S. cerevisiae	ZTA1	ZeTA-crystallin	37023.9	334
S000000251	YBR047W	S. cerevisiae	FMP23	Found in Mitochondrial Proteome	20512.8	175
S000000252	YBR048W	S. cerevisiae	RPS11B	Ribosomal Protein of the Small subunit	17775.3	156
S000000253	YBR049C	S. cerevisiae	REB1	RNA polymerase I Enhancer Binding protein	91825.5	810
S000000254	YBR050C	S. cerevisiae	REG2	REsistance to Glucose repression	38751	338
S000000255	YBR051W	S. cerevisiae			13442.9	116
S000000256	YBR052C	S. cerevisiae	RFS1	Rad55 (Fifty-five) Suppressor	22914.1	210
S000000257	YBR053C	S. cerevisiae			40277.9	358
S000000258	YBR054W	S. cerevisiae	YRO2		38730.9	344
S000000259	YBR055C	S. cerevisiae	PRP6	Pre-mRNA Processing	104234.4	899
S000000260	YBR056W	S. cerevisiae	MRX18	Mitochondrial oRganization of gene eXpression (MIOREX)	57812.5	501
S000000261	YBR057C	S. cerevisiae	MUM2	MUddled Meiosis	41423.7	366
S000000262	YBR058C	S. cerevisiae	UBP14	UBiquitin-specific Protease	88601.8	781
S000000263	YBR059C	S. cerevisiae	AKL1	Ark family Kinase-Like protein	123991.2	1108
S000000264	YBR060C	S. cerevisiae	ORC2	Origin Recognition Complex	71260.2	620
S000000265	YBR061C	S. cerevisiae	TRM7	Transfer RNA Methyltransferase	34703	310
S000000266	YBR062C	S. cerevisiae			20581.1	180
S000000267	YBR063C	S. cerevisiae			46443.3	404
S000000268	YBR064W	S. cerevisiae			16039.2	142
S000000269	YBR065C	S. cerevisiae	ECM2	ExtraCellular Mutant	40946.2	364
S000000270	YBR066C	S. cerevisiae	NRG2	Negative Regulator of Glucose-controlled genes	25030.1	220
S000000271	YBR067C	S. cerevisiae	TIP1	Temperature shock-Inducible Protein	20716.8	210
S000000272	YBR068C	S. cerevisiae	BAP2	Branched-chain Amino acid Permease	67775	609
S000000273	YBR069C	S. cerevisiae	TAT1	Tyrosine and tryptophan Amino acid Transporter	68760.1	619
S000000274	YBR070C	S. cerevisiae	ALG14	Asparagine Linked Glycosylation	27049.5	237
S000000275	YBR071W	S. cerevisiae			23549.4	211
S000000276	YBR072W	S. cerevisiae	HSP26	Heat Shock Protein	23874.8	214
S000000277	YBR073W	S. cerevisiae	RDH54	RaD54 Homolog	107977.7	958
S000000278	YBR074W	S. cerevisiae	PFF1	Protease in FXNA-related Family	111023	976
S000000280	YBR076W	S. cerevisiae	ECM8	ExtraCellular Mutant	41783.1	354
S000000281	YBR077C	S. cerevisiae	SLM4	Synthetic Lethal with Mss4	18346	162
S000000282	YBR078W	S. cerevisiae	ECM33	ExtraCellular Mutant	43761.9	429
S000000283	YBR079C	S. cerevisiae	RPG1		110332.4	964
S000000284	YBR080C	S. cerevisiae	SEC18	SECretory	84059.1	758
S000000285	YBR081C	S. cerevisiae	SPT7	SuPpressor of Ty's	152529.2	1332
S000000286	YBR082C	S. cerevisiae	UBC4	UBiquitin-Conjugating	16453.9	148
S000000287	YBR083W	S. cerevisiae	TEC1	Transposon Enhancement Control	55158	486
S000000288	YBR084W	S. cerevisiae	MIS1	MItochondrial C1-tetrahydrofolate Synthase	106228.6	975
S000000289	YBR085W	S. cerevisiae	AAC3	ADP/ATP Carrier	33333.4	307
S000000290	YBR086C	S. cerevisiae	IST2	Increased Sodium Tolerance	105871.8	946
S000000291	YBR087W	S. cerevisiae	RFC5	Replication Factor C	39946.2	354
S000000292	YBR088C	S. cerevisiae	POL30	POLymerase	28896.2	258
S000000293	YBR089W	S. cerevisiae			22097.6	199
S000000294	YBR090C	S. cerevisiae			14336.1	122
S000000295	YBR091C	S. cerevisiae	TIM12	Translocase of the Inner Membrane	12283.1	109
S000000296	YBR092C	S. cerevisiae	PHO3	PHOsphate metabolism	52745.8	467
S000000297	YBR093C	S. cerevisiae	PHO5	PHOsphate metabolism	52832.8	467
S000000298	YBR094W	S. cerevisiae	PBY1	P-BodY associated protein	86310.7	753
S000000299	YBR095C	S. cerevisiae	RXT2		48607.6	430
S000000300	YBR096W	S. cerevisiae			27098.7	230
S000000301	YBR097W	S. cerevisiae	VPS15	Vacuolar Protein Sorting	166364.6	1454
S000000302	YBR098W	S. cerevisiae	MMS4	Methyl MethaneSulfonate sensitivity	78764.6	691
S000000303	YBR099C	S. cerevisiae			14791.6	127
S000000305	YBR101C	S. cerevisiae	FES1	Factor Exchange for Ssa1p	32592.6	290
S000000306	YBR102C	S. cerevisiae	EXO84	EXOcyst	85540.9	753
S000000307	YBR103W	S. cerevisiae	SIF2	Sir4p-Interacting Factor	59131.5	535
S000000308	YBR104W	S. cerevisiae	YMC2	Yeast Mitochondrial Carrier	36564.7	329
S000000309	YBR105C	S. cerevisiae	VID24	Vacuolar Import and Degradation	41241.4	362
S000000310	YBR106W	S. cerevisiae	SND3	SRP-iNDependent targeting	21142.2	188
S000000311	YBR107C	S. cerevisiae	IML3	Increased Minichromosome Loss	28059.5	245
S000000312	YBR108W	S. cerevisiae	AIM3	Altered Inheritance rate of Mitochondria	103880.3	947
S000000313	YBR109C	S. cerevisiae	CMD1	CalMoDulin	16115.9	147
S000000314	YBR110W	S. cerevisiae	ALG1	Asparagine-Linked Glycosylation	51938.5	449
S000000315	YBR111C	S. cerevisiae	YSA1		26085.3	231
S000000316	YBR112C	S. cerevisiae	CYC8	CYtochrome C	107160.9	966
S000000317	YBR113W	S. cerevisiae			18113.1	160
S000000318	YBR114W	S. cerevisiae	RAD16	RADiation sensitive	91439.5	790
S000000319	YBR115C	S. cerevisiae	LYS2	LYSine requiring	155321.8	1392
S000000320	YBR116C	S. cerevisiae			20223	175
S000000321	YBR117C	S. cerevisiae	TKL2	TransKetoLase	75016	681
S000000322	YBR118W	S. cerevisiae	TEF2	Translation Elongation Factor	50045.3	458
S000000323	YBR119W	S. cerevisiae	MUD1	Mutant U1 Die	34405.7	298
S000000324	YBR120C	S. cerevisiae	CBP6	Cytochrome B Protein synthesis	18692	162
S000000325	YBR121C	S. cerevisiae	GRS1	Glycyl-tRNA Synthase	75325.4	667
S000000326	YBR122C	S. cerevisiae	MRPL36	"Mitochondrial Ribosomal Protein, Large subunit"	20101	177
S000000327	YBR123C	S. cerevisiae	TFC1	Transcription Factor class C	73535.1	649
S000000328	YBR124W	S. cerevisiae			13222.6	119
S000000329	YBR125C	S. cerevisiae	PTC4	Phosphatase Two C	44175.2	393
S000000330	YBR126C	S. cerevisiae	TPS1	Trehalose-6-Phosphate Synthase	56136.2	495
S000000331	YBR127C	S. cerevisiae	VMA2	Vacuolar Membrane Atpase	57728.7	517
S000000332	YBR128C	S. cerevisiae	ATG14	AuTophaGy related	40469.3	344
S000000333	YBR129C	S. cerevisiae	OPY1	Overproduction-induced Pheromone-resistant Yeast	37742.1	328
S000000334	YBR130C	S. cerevisiae	SHE3	Swi5p-dependent HO Expression	47421.4	425
S000000335	YBR131W	S. cerevisiae	CCZ1	Calcium Caffeine Zinc sensitivity	80710.9	704
S000000336	YBR132C	S. cerevisiae	AGP2	high-Affinity Glutamine Permease	67261.4	596
S000000337	YBR133C	S. cerevisiae	HSL7	Histone Synthetic Lethal	95139.2	827
S000000338	YBR134W	S. cerevisiae			15530.1	133
S000000339	YBR135W	S. cerevisiae	CKS1	Cdc28 Kinase Subunit	17789.9	150
S000000340	YBR136W	S. cerevisiae	MEC1	Mitosis Entry Checkpoint	273363.7	2368
S000000341	YBR137W	S. cerevisiae			20448.4	179
S000000342	YBR138C	S. cerevisiae			60471.7	524
S000000343	YBR139W	S. cerevisiae	ATG42	AuTophaGy	57621.4	508
S000000344	YBR140C	S. cerevisiae	IRA1	Inhibitory Regulator of the RAS-cAMP pathway	350948.8	3092
S000000345	YBR141C	S. cerevisiae	BMT2	Base MethylTransferase of 25S RNA	38573.4	337
S000000346	YBR142W	S. cerevisiae	MAK5	MAintenance of Killer	87054.1	773
