Accession,Gene,RNA.D0025,RNA.D005,RNA.D01,RNA.D015,RNA.D02,RNA.D025,RNA.D03,RNA.D035,RNA.D04,prot.D0025,prot.D005,prot.D01,prot.D015,prot.D02,prot.D025,prot.D03,prot.D035,prot.D04,XIA.cluster
P04076,ARG4,0.552707842,0.961582964,1.84108708,2.111840742,1.697404458,1.549515495,2.109358022,3.228873822,4.025580512,631.8873127,1093.795995,1631.045268,1617.506143,1235.802501,772.4207769,828.1560433,998.9431116,1112.279367,2
P04147,PAB1,1.822447682,1.642772066,1.545457505,1.640492294,2.06066628,2.439813824,2.797610988,3.04317958,3.563441102,1569.670155,1711.871389,2093.580031,2563.066739,2868.377428,2979.990094,3092.492025,3017.308229,3116.267212,2
P04161,ADE8,0.636727791,0.597560122,0.623245958,0.82021923,1.147587191,1.62519711,2.175345585,2.384221187,3.341463047,249.5143256,296.4358361,392.7237146,502.3786741,569.1017568,565.9243459,625.3929743,505.6817786,566.7004248,2
P04449,RPL24A,2.289948843,3.220895451,3.120162934,4.050346928,5.060691543,7.681542562,8.139112595,11.95531429,13.92979695,5521.540694,6525.307862,8227.470168,10340.54519,11578.07011,12270.62066,12581.01371,12686.40206,13441.03701,2
P04456,RPL25,3.548559732,5.246570396,5.143703907,6.431194207,7.48539595,11.5653004,12.08187654,17.14549622,20.03404859,5086.065357,5900.981316,7372.886652,9249.815236,10540.60445,11801.93854,12005.359,12685.5837,13183.45479,2
P04650,RPL39,9.389356394,11.59018422,12.75836745,15.59210073,18.0920289,29.17005688,25.12941849,39.58759633,58.23962656,2278.896517,2840.436548,3583.12859,4538.273599,5319.976214,5736.125053,5887.598015,6192.226097,6536.823186,2
P04786,TOP1,0.333552253,0.307182944,0.304387801,0.317143594,0.346340171,0.482564764,0.645781894,0.868335061,0.932703818,NA,NA,NA,81.74356682,93.2893331,94.31589291,86.99938327,NA,91.88427912,2
P04801,THS1,0.64662697,0.775208588,0.814065652,1.001793158,1.352912954,1.780448103,2.181806444,2.769117743,3.310864982,944.9737206,945.8916504,1176.597218,1421.693493,1574.707611,1652.249842,1672.940506,1594.696207,1638.318767,2
P04802,DPS1,0.839348709,0.889312441,0.906098615,0.943270755,1.13264051,1.192428443,1.510072574,1.758273581,2.243044811,1937.421311,1883.950151,2046.707837,2201.444798,2198.710212,1968.143903,1966.224473,1862.087289,1893.783494,2
P04803,MSW1,0.147775301,0.225265204,0.186276953,0.210685849,0.308155471,0.401752068,0.604197788,0.704872882,0.793713024,NA,NA,NA,NA,NA,NA,72.59664,NA,NA,2
P04806,HXK1,5.292081092,5.949394798,3.207942868,2.909722285,2.783206828,3.264724526,4.069278824,4.977574292,5.466594672,10980.55594,7884.956715,4460.235167,4739.654859,4451.673909,4389.560369,4502.224937,3861.367806,3516.639059,1
P04807,HXK2,0.841886052,1.121762277,1.231288126,1.63317248,2.594271661,3.782123882,4.827530334,6.997770137,8.819570589,1208.264146,1290.676429,1636.121077,2154.617688,2576.133111,2991.908824,3650.05434,3885.682308,4088.158913,2
P04819,CDC9,0.204502534,0.271051965,0.243466901,0.264414325,0.349671248,0.457594055,0.513661598,0.685553573,0.749723321,NA,NA,NA,NA,NA,NA,58.41677461,NA,50.96756921,2
P04840,POR1,3.121122965,3.934860622,3.990382921,4.577448075,5.687117937,7.33393134,9.728342296,12.08098893,13.08871142,4632.2133,5444.274898,6535.135919,7354.97395,7798.351305,8072.517766,8377.529971,8255.063774,7268.393675,2
P04912,HTA2,0.805284566,1.134922214,1.417381006,1.909295902,2.458832338,3.600653375,3.216658887,4.688165968,5.631807586,5879.82642,7113.195659,9161.747927,10189.04696,11252.9171,11803.49725,10218.31056,9451.5972,9217.720449,2
P05030,PMA1,1.221392619,2.070353582,2.954263635,3.550749847,4.412106132,5.322802191,6.399285878,11.14951113,13.18938834,3170.713263,4303.363787,5111.74492,5265.718066,4555.770837,3873.637557,4582.739569,5414.214711,5707.463601,2
P05150,ARG3,0.700097263,1.243238038,1.815871884,2.117944706,2.111067532,2.823920767,3.976403722,4.156177175,4.804790487,1059.830318,1574.70142,2110.818513,2385.044572,2269.535135,2269.49561,2238.658138,1947.20463,1910.71769,2
P05317,RPP0,1.775643582,2.473674601,2.598262946,3.335119277,5.234053138,7.075261101,8.593334079,11.56701207,14.17880481,6191.157217,6801.699813,8387.588438,11096.25351,12086.04726,11949.52606,12621.12334,12250.63499,13059.53012,2
P05318,RPP1A,2.825995589,3.570786249,3.168019989,3.68839319,4.548239964,6.618831553,7.084007502,9.863744523,12.18923873,3127.411641,3584.189353,4009.569063,NA,6221.974297,NA,6821.4737,7169.36402,NA,2
P05319,RPP2A,1.92362551,2.798430132,3.212029815,3.943852172,5.42938145,7.536343947,10.14061155,12.5769276,16.56030672,2487.271908,2778.365795,3473.085388,4367.691777,5198.705533,5540.583948,5862.331854,6145.419816,6589.343139,2
P05373,HEM2,0.459387523,0.564647188,0.725868148,0.942471924,1.398419161,1.877188285,2.829343092,3.747161148,3.967373473,805.1372112,916.0766977,1241.490953,1658.156253,1909.08349,2161.527117,2624.091799,2506.928054,2199.137813,2
P05374,CHO2,0.464574534,0.552688574,0.644595861,0.751103766,0.942170441,1.381324156,2.009445469,2.404086344,2.570028796,40.62310677,47.16232979,72.00773547,98.15657757,116.186885,150.1818362,172.7635325,158.4517435,156.41915,2
P05375,OPI3,1.460064517,1.980563583,2.357329866,2.487371607,2.744344198,4.02815049,5.801461009,7.424421813,9.332231959,NA,NA,NA,NA,NA,NA,88.25212036,NA,NA,2
P05453,SUP35,0.635590612,0.743361681,0.733634775,0.845563683,1.147321533,1.547112333,1.745472121,2.30063532,2.622722022,886.5636327,837.5016439,829.4174553,966.3039263,1008.930825,981.0172385,992.8128732,947.5309147,991.9427767,2
P05626,ATP4,1.394917337,1.794220597,1.868653655,2.300040371,2.970047793,4.128936637,5.227425411,6.192371466,6.499485984,1847.078755,2383.888803,3002.90973,3569.461039,3959.07605,4181.299184,4413.3575,3684.22526,3238.727068,2
P05694,MET6,0.711715275,1.569649017,2.590711736,3.409054938,4.443905733,6.051694731,7.275274271,10.15749739,12.11297395,2937.123909,4487.982675,7140.2636,9406.721693,10679.68983,12666.37379,15055.05755,15265.69495,15552.42995,2
P05737,RPL7A,1.670531206,2.538069115,2.81654309,3.580332338,4.791857504,6.804664953,7.102249565,10.4241985,13.29097733,4575.040551,5204.863162,6717.241731,8632.527617,9439.850027,10218.73949,10844.15843,10848.61793,11327.30386,2
P05738,RPL9A,0.956482285,1.518944366,1.961422823,2.69354592,3.629970976,5.675094752,5.554803291,9.192595395,12.35290486,1873.167991,2388.373422,3732.445948,5012.395025,5770.752293,6516.253317,7307.029862,8138.81812,9041.138288,2
P05739,RPL6B,1.259809071,1.664275696,1.903594536,2.412944334,3.071464254,4.64185397,5.998250418,8.355063979,10.72934859,4853.821687,5127.237907,6610.820438,8431.597955,9326.180935,10389.46607,10743.59428,10857.9733,11525.46616,2
P05740,RPL17A,1.961993926,2.758697246,2.75429959,3.51266504,4.777815551,7.068415592,8.658705845,11.56060478,14.51828841,4491.023684,5323.618768,6778.679302,8409.892481,9683.950373,10602.07935,10804.71237,11234.80989,11792.09357,2
P05743,RPL26A,2.075593273,2.662877718,2.842831111,3.362355369,4.459410621,6.570082813,7.684968294,10.34882552,12.80559744,9516.902565,10475.05425,12062.71448,13983.7015,15110.02443,15487.22516,15595.21591,15099.28738,15954.51646,2
P05744,RPL33A,3.103394373,4.29061335,4.668944037,5.598014629,6.975309579,10.30700928,13.8488653,18.67846943,24.25596461,879.512976,1015.175028,1340.046663,1586.688516,1692.612597,1860.643767,1853.196717,1909.472167,2007.66225,2
P05745,RPL36A,1.833202189,2.176021923,2.230235508,2.831326775,3.446414608,5.014798447,4.731609861,7.701751724,8.84821549,413.4107178,473.1554755,592.9313717,714.5763871,860.6513693,941.6130307,957.8071841,1071.152609,1234.473668,2
P05747,RPL29,5.2172849,6.882225299,7.816170848,9.864504263,10.92043816,18.40819137,17.02835966,27.17997593,43.66723081,703.0557855,818.0166509,960.1497825,1121.331972,1316.013083,1515.01733,1620.408957,1666.621622,NA,2
P05749,RPL22A,1.531436367,2.288627483,2.706332483,3.484750173,4.668290983,7.057982395,8.020985275,11.61197209,15.11992115,2071.743228,2291.553658,3173.365258,4059.557093,4568.272117,5120.912721,5177.572303,5529.815074,6093.02475,2
P05750,RPS3,2.407035585,3.560858534,3.729619646,4.659645027,5.961103647,8.5302619,8.53728558,13.13149262,15.7971575,4310.159573,4930.654795,6038.672566,7122.200227,8124.748405,8735.09695,9302.727873,10024.97379,10507.78274,2
P05755,RPS9B,1.642159515,2.699661392,3.133815869,4.155116648,5.468766409,8.09993508,9.032486319,13.66125696,16.71040768,5581.947754,6108.525618,8120.789306,9807.634842,10906.78464,11836.28338,12436.6999,13140.35102,14105.46853,2
P05756,RPS13,2.708265516,4.015540624,3.657429116,4.652411441,5.722675126,8.241355105,9.01511841,13.29256637,15.53809827,3280.876718,3726.714213,4647.140836,5962.688772,6475.024409,6870.84939,7559.536857,8166.297067,8704.841227,2
P05759,RPS31,4.758690588,6.671478682,8.568690644,10.47265506,12.02913701,18.76201753,19.03926636,28.77301061,42.44288521,3410.65745,3605.165615,3869.719771,4258.606833,4378.337068,4390.056043,4489.93818,4589.448683,4651.229759,2
P06101,CDC37,1.166420137,0.800940866,0.615189018,0.588056235,0.594190028,0.727118449,1.019067168,1.057280504,1.180400131,779.8490361,725.491875,607.002122,641.2247494,634.514584,563.7077077,515.5235108,466.0301047,432.5919454,2
P06102,NOT3,0.452762466,0.248851562,0.279982523,0.328381147,0.410564918,0.570298484,0.749447778,0.949442773,1.108610067,63.66179542,69.64291153,82.75997411,92.6055058,79.72805403,103.5254775,104.8712564,93.45115898,88.7322196,2
P06103,PRT1,0.379503725,0.530614429,0.584187774,0.727484057,1.066973666,1.47269878,1.765273035,2.276885647,2.679714294,491.5868736,570.889362,719.15534,884.2374971,1007.664668,1070.852547,1126.60324,1092.212922,1111.822353,2
P06105,SCP160,0.279965909,0.37773994,0.374889856,0.459149573,0.639020413,0.808834221,0.981742175,1.429781222,1.611238614,446.4968099,507.7610745,637.660828,773.9071365,826.4767984,881.1109898,932.4062474,996.6820695,1054.91843,2
P06106,MET17,2.095039584,3.332802306,4.051950765,4.849938699,6.881961002,8.700000816,10.68674109,11.34110286,12.84762688,8217.156441,9235.94786,11145.1305,13480.27504,15054.2514,15870.53818,16296.17314,13368.64251,12343.09969,2
P06115,CTT1,1.162377494,1.26632159,0.673530836,0.483862993,0.145871395,0.062329898,0.073213025,0.099101317,0.098780494,353.468804,269.422483,131.3333005,81.24289123,27.28238118,NA,NA,NA,NA,1
P06168,ILV5,1.806372181,3.139346262,4.167133242,5.156259898,6.626989936,8.850603404,9.995884184,11.43907855,14.10370093,6563.851787,8043.286083,11294.66948,13495.96834,14412.6833,14772.00227,13135.57257,11064.63888,11050.18563,2
P06169,PDC1,4.270497988,6.635217465,6.116295252,5.1443106,3.885489057,3.687564935,4.496939988,6.936534691,11.24989399,8493.881819,8551.685108,7271.818084,7122.57135,6030.787008,5651.522015,6649.570412,7755.533727,10699.31626,2
P06174,HEM4,0.274977925,0.309651572,0.257455801,0.305113066,0.342207468,0.443774673,0.536665157,0.609503982,0.772897425,70.99743058,79.98452634,NA,NA,NA,NA,NA,NA,NA,2
P06182,CYC3,0.845970232,0.7545043,0.657090891,0.630952568,0.814316964,1.013821894,1.558800648,1.832122567,2.239007019,87.6201299,98.1460978,NA,NA,178.8215566,189.2171627,207.1001706,212.4797137,203.9974824,2
P06245,TPK2,0.886855216,0.842031637,0.726786355,0.638857959,0.466974987,0.45976283,0.560003282,0.611680443,0.604702042,200.2216172,209.2770639,201.0756349,166.7826135,131.6526948,111.5060963,99.37917117,NA,NA,1
P06367,RPS14A,2.489172981,3.399015806,3.757390706,4.869481717,6.414140393,9.68361261,10.78821143,15.95489513,19.88067417,NA,5314.929481,6934.798654,NA,NA,NA,12255.41056,NA,NA,2
P06633,HIS3,0.583138862,0.689166763,0.968534635,1.140948228,1.233163429,1.325566266,1.528290932,1.810482788,2.413753299,294.3306217,420.9042692,614.9213659,712.8339039,690.9507217,557.2433161,507.6734504,533.7635077,548.028942,2
P06634,DED1,0.57276861,0.417687482,0.528000909,0.632604101,0.829094382,1.041617794,1.171662612,1.652067408,2.022804652,543.3201725,708.7489444,1099.77388,1473.56434,1786.637087,1945.883387,2059.397681,2251.937598,2411.957121,2
P06700,SIR2,0.246441519,0.238169923,0.210389092,0.234460248,0.270592651,0.354232362,0.457077766,0.549814398,0.573801912,NA,NA,4.170413118,NA,NA,NA,NA,NA,NA,2
P06701,SIR3,0.293400267,0.174143054,0.176453313,0.189218944,0.213820699,0.286150916,0.315666665,0.43957292,0.478862933,4.535339368,4.403931144,NA,NA,NA,NA,3.389727641,NA,NA,2
P06738,GPH1,0.499969195,0.651515628,0.540881518,0.499258988,0.436405179,0.366548423,0.439207228,0.678593904,0.57531642,603.8521739,603.666153,444.4645653,402.2803975,300.8062166,210.0041618,181.2025273,207.9088218,154.9436246,1
P06778,RAD52,0.32396056,0.401785028,0.484126717,0.478727467,0.50875455,0.65254224,0.910747888,0.907087403,1.073056799,33.89892203,44.39322446,51.71750729,61.26345735,67.52203577,55.96010273,61.04354665,NA,NA,2
